#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
1.14643162e+00 5.19045537e-09 1.47507671e-07 1.58159338e-07
1.15126888e+00 5.21235612e-09 1.47853909e-07 1.58751713e-07
1.15610615e+00 5.23425674e-09 1.48221760e-07 1.59355744e-07
1.16094341e+00 5.25615749e-09 1.48611690e-07 1.59971677e-07
1.16578068e+00 5.27805824e-09 1.49024136e-07 1.60599740e-07
1.17061794e+00 5.29995874e-09 1.49459516e-07 1.61240154e-07
1.17545520e+00 5.32185949e-09 1.49918222e-07 1.61893125e-07
1.18029247e+00 5.34375998e-09 1.50400626e-07 1.62558846e-07
1.18512973e+00 5.36566048e-09 1.50907074e-07 1.63237498e-07
1.18996700e+00 5.38756148e-09 1.51437887e-07 1.63929248e-07
1.19480426e+00 5.40946198e-09 1.51993360e-07 1.64634248e-07
1.19964152e+00 5.43136247e-09 1.52573768e-07 1.65352639e-07
1.20447879e+00 5.45326348e-09 1.53179354e-07 1.66084547e-07
1.20931605e+00 5.47516384e-09 1.53810339e-07 1.66830082e-07
1.21415332e+00 5.49706434e-09 1.54466918e-07 1.67589341e-07
1.21899058e+00 5.51896521e-09 1.55149257e-07 1.68362407e-07
1.22382785e+00 5.54086596e-09 1.55857499e-07 1.69149347e-07
1.22866511e+00 5.56276620e-09 1.56591760e-07 1.69950215e-07
1.23350237e+00 5.58466708e-09 1.57352128e-07 1.70765050e-07
1.23833964e+00 5.60656745e-09 1.58138665e-07 1.71593874e-07
1.24317690e+00 5.62846820e-09 1.58951410e-07 1.72436700e-07
1.24801417e+00 5.65036895e-09 1.59790371e-07 1.73293521e-07
1.25285143e+00 5.67226944e-09 1.60655534e-07 1.74164317e-07
1.25768870e+00 5.69417032e-09 1.61546857e-07 1.75049056e-07
1.26252596e+00 5.71607081e-09 1.62464272e-07 1.75947687e-07
1.26736322e+00 5.73797143e-09 1.63407690e-07 1.76860151e-07
1.27220049e+00 5.75987206e-09 1.64376990e-07 1.77786369e-07
1.27703775e+00 5.78177268e-09 1.65372032e-07 1.78726253e-07
1.28187502e+00 5.80367343e-09 1.66392649e-07 1.79679700e-07
1.28671228e+00 5.82557418e-09 1.67438651e-07 1.80646592e-07
